site,Y,X
EX01,-8.494503,-61.637295
EX02,-8.496029,-61.653348
N55,-8.439268,-61.686776
N56,-8.430138,-61.695426
EX03,-8.446277,-61.65858
CT CARCACA,-8.953832,-63.168738
CTES01,-8.871821,-63.237151
CTES02,-8.908407,-63.23574
CTES03,-8.914463,-63.251175
CTES04,-8.938745,-63.233101
CTES05,-8.976985,-63.144899
CTES06,-8.97645,-63.162421
CTES07,-8.980315,-63.184287
CTES09,-8.966722,-63.235343
CTES11,-8.950726,-63.226699
CTES12,-8.873369,-63.221206
CTES13,-8.891394,-63.217609
CTES14,-8.906545,-63.21944
CTES15,-8.873314,-63.202615
CTES16,-8.890116,-63.2023
CTES17,-8.908605,-63.202846
CTES20,-8.909532,-63.18387
CTES21,-8.928518,-63.185726
CTES22,-8.926767,-63.202693
CTES23,-8.926798,-63.221874
CTES24,-8.943402,-63.182845
CTES25,-8.94658,-63.204156
CTES26,-8.944815,-63.166221
CTES27,-8.96065,-63.180442
CTES28,-8.962208,-63.149336
CTES29,-8.943738,-63.149081
CTES31,-8.927363,-63.169452
CTES37,-8.963227,-63.204722
CTES38,-8.98057,-63.240885
CTES39,-8.981114,-63.1313
CTES40,-8.965853,-63.221765
CTES42,-8.979994,-63.218583
CTES43,-8.961295,-63.163543
CTES44,-8.980034,-63.20054
CTES60,-8.859033,-63.246846
CTES61,-8.857319,-63.24082
CTES62,-8.872671,-63.195867
CTES63,-8.888177,-63.238193
CTES64,-8.934887,-63.211182
CTES65,-8.95008,-63.191971
CTES66,-8.916009,-63.226915
CTES67,-8.898279,-63.236525
